hotel_Id,hotelNames
19789202,30 Bencoolen
5696587,5footway.inn Project Chinatown 1
1675926,Adina Serviced Apartments Singapore Orchard
12810757,Aerotel Singapore - Transit Hotel in Terminal 1
1078908,Aliwal Park Hotel
5264060,Aloft Singapore Novena
75903049,AM Hotel
1871226,Amara Sanctuary Resort Sentosa
906145,Amara Singapore
13434756,Ambassador Transit Hotel Terminal 2
13434415,Ambassador Transit Hotel Terminal 3
16222000,Ambassador Transit Lounge Singapore T2
16221925,Ambassador Transit Lounge Singapore T3
6493295,AMOY by Far East Hospitality
96105424,Amrise Hotel
97021399,AMRISE HOTEL KITCHENER
18618175,Andaz Singapore - a concept by Hyatt
22133904,"Ann Siang House, The Unlimited Collection by Oakwood"
11225475,Aqueen Hotel Paya Lebar
99401817,Aqueen Prestige Hotel Jalan Besar
96572586,Aqueen Prestige Hotel Lavender 
13277061,Arcadia Hotel
91551475,Arena eSports Hotel at Bugis Village
3089603,Arianna Hotel
12608333,Ark Hostel
7322901,Arton Boutique Hotel
92372777,Artyzen Singapore 
16223639,Ascott Orchard Singapore
2109912,Ascott Raffles Place Singapore
1074665,Asphodel Inn Singapore
29282810,Atlantis Pods at Chinatown
22386659,Atlantis Pods at Little India
9224417,Beary Best! Hostel
9096337,BEAT. Arts Hostel Chinatown
12639407,BEAT. Capsule Hostel @ Boat Quay
8032274,Best Rest Inn
83279266,Beverly Hotels Elements
9753497,Blanc Inn - Hostel
8060583,Bliss Hotel Singapore
13119508,Bright Star Hotel
23082282,Butternut Tree Hotel
25114989,Campbell Inn - Hostel
2434364,Capella Singapore
5312974,"Capri by Fraser Changi City, Singapore"
34834462,"Capri By Fraser China Square, Singapore"
6076571,Carlton City Hotel Singapore
892568,Carlton Hotel Singapore
35134453,Century Service World - Hostel
9849561,Champion Hotel
16221741,Champion Hotel City
6980410,Changi Cove
16107172,Check-Inn at Little India
41946053,CherryLoft @Lorong10
13052448,CherryLoft Resorts
36760720,Circular House
38080473,Citadines Balestier Singapore
86149818,Citadines Connect City Centre Singapore
88627722,Citadines Connect Rochester Singapore
2816682,Citadines Fusionopolis Singapore
2307345,Citadines Mount Sophia Singapore
74539853,Citadines Raffles Place Singapore
42235554,Citadines Rochor Singapore
10232029,Coastal Motel
95282325,Coliwoo Hotel Gay World
76936991,Coller Boutique Hostel
3051,Concorde Hotel Singapore 
41139,Conrad Centennial Singapore
96152237,Conrad Singapore Orchard
93596849,Convenient Jacksonville Home w/ Yard & Patio!
555023,Copthorne King's Hotel Singapore on Havelock
19823539,Courtyard by Marriott Singapore Novena
2057692,"Crowne Plaza Changi Airport, an IHG Hotel"
15803687,CUBE Boutique Capsule Hotel @ Chinatown
20190773,CUBE Boutique Capsule Hotel @ Kampong Glam
10425688,CUBE Family Boutique Capsule Hotel
18559466,Dao by Dorsett AMTD Singapore
14978,Days Inn by Wyndham Jacksonville NC
3113066,D'Hotel Singapore managed by The Ascott Limited
88940650,D'nova Hotel
5659305,Dorsett Singapore
89681729,Dream Chaser Boutique Capsule Hotel
16708917,Dream Lodge
15061900,D'Resort at Downtown East
42723659,Dusit Thani Laguna Singapore
892933,"Duxton Reserve Singapore, Autograph Collection"
861823,Fairmont Singapore
10586232,Far East Plaza Residences
17437217,five6 Hotel Splendour
9441007,Four Chain View Hotel
46752,"Four Points by Sheraton Singapore, Riverview"
21677,Four Seasons Hotel Singapore
2805716,Fragrance Hotel - Balestier
5775166,Fragrance Hotel - Classic
5775244,Fragrance Hotel - Kovan
5775249,Fragrance Hotel - Lavender
2139774,Fragrance Hotel - Oasis
4424329,Fragrance Hotel - Ocean View
2535007,Fragrance Hotel - Rose
5775231,Fragrance Hotel - Viva
915823,"Fraser Place Robertson Walk, Singapore"
32154575,"Fraser Residence Orchard, Singapore"
96324130,Fraser Residence River Promenade
915822,Fraser Suites Singapore
23122,Furama City Centre
46753,Furama RiverFront
8777046,Gap Year Hostel
46745,Garden
87344880,Garden Pod @ Gardens by the Bay
4173,Goodwood Park Hotel
553889,Grand Copthorne Waterfront
